Date,AMZN,TSLA,BB,ITUB,GME,CLF,MSFT,NVDA,FB,WSBC,CLNE,WKHS,AAPL,NOK,AGG,TLT,HYG,LQD,IGSB,BND,PFF
6/12/2014,325.91,40.704,8.12,6.4305,26.6083,7.1288,35.4372,18.6163,64.2901,24.3433,10.73,1.1,20.7572,6.3813,91.5646,95.2759,65.7563,94.4223,46.0322,68.3263,26.5538
6/13/2014,326.27,41.284,7.89,6.4985,27.1142,7.3261,36.0048,18.6353,64.5,24.4389,10.98,1.1,20.5301,6.3813,91.5393,95.2249,65.8325,94.4064,46.0061,68.3096,26.5269
6/16/2014,327.62,44.922,7.93,6.439,27.6493,7.2583,36.2406,18.5781,64.19,24.0009,11.1,1.05,20.737,6.3337,91.4889,95.4627,65.7979,94.3984,45.993,68.2929,26.574
6/17/2014,325.62,46.334,8.05,6.3241,29.5331,7.3468,36.3978,18.7021,64.4,24.5106,11.25,1.15,20.71,6.3813,91.3207,94.707,65.7493,94.0797,45.993,68.1343,26.6481
6/18/2014,334.38,45.424,8.29,6.4646,29.3205,7.6836,36.3716,18.683,65.6,24.6937,11.2,1.15,20.7325,6.6115,91.5646,95.4372,66.0475,94.6216,46.0104,68.3096,26.7155
6/19/2014,327,45.558,9.09,6.3922,29.2909,7.6783,36.2493,18.2519,64.3415,24.7813,11.27,1.2,20.6605,6.6038,91.43,94.2145,66.0336,94.2869,46.0017,68.2512,26.729
6/20/2014,324.2,45.918,9.81,6.3539,29.4012,7.5639,36.3978,18.0536,64.5,24.6698,11.16,1.199,20.4469,6.5531,91.5898,94.9277,66.096,94.4702,46.0148,68.2929,26.7492
6/23/2014,327.24,47.444,10.12,6.3667,29.6137,7.7153,36.6685,17.8438,65.37,24.5344,11.27,1.121,20.4289,6.6715,91.5057,94.6305,66.0891,94.4622,46.0017,68.2679,26.7627
6/24/2014,324.16,46.5,9.84,6.3581,29.4963,7.3874,36.4546,17.5672,65.72,24.5026,11.175,1.3,20.3052,6.4178,91.6654,95.59,66.0336,94.8606,46.0191,68.3931,26.7694
6/25/2014,327.44,47.3782,9.98,6.2475,29.4742,7.4704,36.7034,17.7484,67.44,24.6698,11.39,1.301,20.3232,6.5108,91.7916,95.8363,66.1307,94.9562,46.0453,68.4849,26.8098
6/26/2014,325.69,47.12,9.92,6.2092,29.7384,7.8141,36.4327,17.51,67.13,24.6778,11.4,1.309,20.4446,6.4939,91.9681,96.2948,66.0613,95.1315,46.0388,68.5767,26.8503
6/27/2014,324.57,47.812,9.78,6.1837,29.5771,7.6318,36.8956,17.529,67.6,24.837,11.59,1.1,20.6875,6.4347,91.9681,96.1504,66.0613,95.1156,46.0628,68.5767,26.8907
6/30/2014,324.78,48.012,10.24,6.1198,29.665,7.8299,36.4153,17.6816,67.29,24.7176,11.72,1,20.9012,6.3925,91.9765,96.3882,66.0059,95.0279,46.102,68.6352,26.8907
