Date,TSLA,AMZN,MSFT,NVDA,FB,BB,ITUB,GME,CLF,WSBC,CLNE,WKHS,AAPL,NOK
5/22/2012,6.158,215.33,24.5014,11.1558,31,11.06,4.56,12.9048,23.2905,14.9869,13.74,1.8,17.1052,2.2858
5/25/2012,5.962,212.89,23.925,11.3947,31.91,11,4.7256,13.3346,23.2448,15.1578,13.43,1.8,17.2686,2.2382
5/29/2012,6.338,214.75,24.3367,11.6887,28.84,11.23,4.7289,13.4645,24.2578,15.1727,13.95,2.5,17.5751,2.3414
5/30/2012,6.082,209.23,24.1556,11.5509,28.19,10.351,4.5898,13.4303,23.554,15.0538,13.41,2.4,17.787,2.1747
5/31/2012,5.9,212.91,24.0321,11.4222,29.6,10.33,4.7918,13.1024,22.1186,15.1132,13.61,1.8,17.7428,2.1192
6/1/2012,5.63,208.22,23.4228,11.0087,27.72,10.26,4.6177,13.116,21.3319,14.7862,12.86,2.4,17.2287,2.0953
6/4/2012,5.576,214.57,23.5052,10.779,26.9,9.66,4.5647,13.116,21.1748,14.8531,12.55,1.5,17.33,2.0715
6/5/2012,5.582,213.21,23.4681,11.0868,25.869,9.985,4.5647,13.3484,21.8136,14.8679,13.46,1.8,17.2852,2.1906
6/7/2012,5.786,218.8,24.065,10.926,26.31,10.72,4.8131,12.8427,22.577,15.2353,13.81,1.8,17.5582,2.2461
6/11/2012,5.824,216.5,23.7892,11.266,27.005,10.355,4.6607,12.4877,21.5032,15.0179,13.2,1.5,17.5413,2.1985
6/13/2012,5.954,214.73,23.9827,11.1925,27.27,10.665,4.7038,12.3717,21.7668,15.0029,13.36,1.5,17.5717,2.2144
6/15/2012,5.982,218.35,24.7154,11.2936,30.014,10.89,4.8496,12.1802,22.6744,15.5427,14,1.5,17.6322,1.9684
6/19/2012,6.418,224.03,25.2753,12.162,31.911,10.745,4.9887,12.5489,23.4982,15.7826,15.195,1.5,18.0401,2.016
6/21/2012,6.438,220.575,24.8101,11.7944,31.84,10.065,4.664,11.9959,22.3736,15.5952,14.05,1.1,17.741,1.889
6/25/2012,6.622,220.07,24.5878,11.5693,32.06,9.105,4.356,11.7432,21.1005,15.5652,14.07,1.5,17.5289,1.7382
6/26/2012,6.322,225.61,24.7154,11.6979,33.1,8.965,4.3378,11.9412,21.6884,15.5352,14.04,2.3,17.5676,1.7144
6/27/2012,6.392,225.62,24.8389,12.0747,32.23,9.18,4.3858,12.1734,21.9524,15.7826,14.35,2.25,17.6436,1.7382
6/28/2012,6.282,221.31,24.6248,12.1666,31.36,9.13,4.3394,12.1665,21.8595,15.6777,15,1.6,17.4762,1.6747
7/2/2012,6.08,229.32,25.16,12.355,30.771,7.49,4.6985,12.2827,22.713,16.3375,16.265,1.5,18.197,1.6985
7/5/2012,6.246,227.06,25.2753,12.5525,31.47,7.69,4.8045,12.4806,23.0193,16.405,15.92,1.55,18.732,1.6033
7/9/2012,6.298,225.05,24.6989,12.1482,32.17,7.67,4.7118,11.9684,21.8411,16.3075,15.42,1.55,18.8533,1.4604
7/10/2012,6.254,219.5,24.4849,11.7806,31.47,7.29,4.5726,11.989,21.3406,16.3525,14.65,1.5,18.6789,1.4286
7/17/2012,6.67,216.93,24.419,11.3671,28.09,6.92,4.7449,11.4354,21.0625,16.7348,13.97,1.55,18.6399,1.3413
7/18/2012,6.43,217.47,25.0694,12.0012,29.11,6.95,4.8278,11.545,21.2616,16.8811,14.06,1.55,18.619,1.3731
7/19/2012,6.454,226.17,25.2464,12.116,29,6.96,4.9437,11.4764,21.8646,16.6224,14.19,1.3,18.8665,1.4683
7/20/2012,6.358,228.29,24.7936,11.7668,28.76,6.775,4.8907,11.1352,21.3219,15.8501,13.99,1.55,18.5588,1.3572
7/23/2012,6.132,226.01,24.1062,11.9277,28.75,6.86,4.7118,11.0258,20.5477,15.6702,13.56,1.55,18.5444,1.4525
7/26/2012,5.626,220.01,24.0074,12.0839,26.845,6.965,5.1226,10.9097,17.9117,15.4377,13.69,1.55,17.6553,1.6033
7/31/2012,5.484,233.3,24.2626,12.4423,21.71,7.15,5.2386,10.9439,18.9886,15.5277,14.11,1.55,18.7572,1.9128
8/1/2012,5.25,232.09,24.2132,12.3044,20.88,7.117,5.2168,10.9779,19.379,15.1753,13.69,1.5,18.6359,1.889
8/3/2012,5.454,234.97,24.4931,12.6077,21.09,6.99,5.309,10.862,19.5557,15.6177,13.96,1.55,18.9089,1.8811
8/8/2012,5.818,234.38,24.9706,13.0763,20.72,7.62,5.6355,11.4286,20.5678,15.6102,13.08,1.5,19.0367,2.1192
8/14/2012,5.884,233.19,24.9703,13.4071,20.38,7.56,5.5422,11.8046,19.8079,15.4153,14.15,1.4,19.4832,1.9763
8/15/2012,5.88,237.42,25.0283,13.306,21.2,7.52,5.5821,11.6473,19.5959,15.4827,14.28,1,19.4567,2.0953
8/17/2012,6.002,241.17,25.6084,13.4623,19.05,7.47,5.7453,12.6859,19.8879,15.4977,14.06,2.35,19.9897,2.1747
8/20/2012,5.902,240.35,25.4758,13.4623,20.011,7.35,5.7053,13.3141,19.61,15.5802,13.69,2.5,20.5152,2.1827
8/21/2012,5.822,239.45,25.5256,13.4255,19.159,7.16,5.6488,13.3141,19.1392,15.5502,13.48,2,20.2349,2.1906
8/23/2012,6.146,241.198,25.0739,13.1452,19.44,7.065,5.6054,12.911,18.5175,15.0929,13.22,2,20.4375,2.5398
8/24/2012,5.9,245.74,25.3267,13.4163,19.409,6.94,5.6154,12.7519,18.315,15.0854,13.25,2,20.4558,2.4446
8/27/2012,5.664,243.92,25.4344,13.1866,19.15,7.07,5.5022,12.5649,17.7638,15.1378,13.47,2.5,20.84,2.5795
8/28/2012,5.738,246.11,25.3847,13.1314,19.34,7.02,5.4722,12.5578,17.6263,15.2128,13.52,2.4,20.8129,2.4049
8/29/2012,5.682,247.12,25.4013,13.159,19.1,6.91,5.3457,12.8834,17.3805,15.3628,13.45,2.2,20.7717,2.3017
8/30/2012,5.682,246.22,25.1278,12.9109,19.0885,6.71,5.3223,13.2645,16.8664,15.1303,13.08,2.2,20.4757,2.1827
